taxa_id,W,detected_0.9,detected_0.8,detected_0.7,detected_0.6
714403,2052,FALSE,FALSE,FALSE,FALSE
306126,6470,FALSE,TRUE,TRUE,TRUE
78579,7766,TRUE,TRUE,TRUE,TRUE
2587410,7771,TRUE,TRUE,TRUE,TRUE
5144,7756,TRUE,TRUE,TRUE,TRUE
48703,7724,TRUE,TRUE,TRUE,TRUE
2587412,7737,TRUE,TRUE,TRUE,TRUE
38033,7757,TRUE,TRUE,TRUE,TRUE
209285,7736,TRUE,TRUE,TRUE,TRUE
904709,6491,FALSE,TRUE,TRUE,TRUE
1934356,7715,TRUE,TRUE,TRUE,TRUE
2587399,7588,TRUE,TRUE,TRUE,TRUE
290626,1249,FALSE,FALSE,FALSE,FALSE
1395129,1449,FALSE,FALSE,FALSE,FALSE
5140,7766,TRUE,TRUE,TRUE,TRUE
5141,7749,TRUE,TRUE,TRUE,TRUE
40127,7759,TRUE,TRUE,TRUE,TRUE
29879,7717,TRUE,TRUE,TRUE,TRUE
165293,1150,FALSE,FALSE,FALSE,FALSE
5147,7748,TRUE,TRUE,TRUE,TRUE
573841,5379,FALSE,FALSE,FALSE,TRUE
27338,1686,FALSE,FALSE,FALSE,FALSE
100816,7748,TRUE,TRUE,TRUE,TRUE
48558,7733,TRUE,TRUE,TRUE,TRUE
318829,7767,TRUE,TRUE,TRUE,TRUE
148305,7752,TRUE,TRUE,TRUE,TRUE
1578925,7733,TRUE,TRUE,TRUE,TRUE
36779,7769,TRUE,TRUE,TRUE,TRUE
29908,7765,TRUE,TRUE,TRUE,TRUE
150359,7764,TRUE,TRUE,TRUE,TRUE
545651,6745,FALSE,TRUE,TRUE,TRUE
226899,7769,TRUE,TRUE,TRUE,TRUE
5159,7378,TRUE,TRUE,TRUE,TRUE
330483,2052,FALSE,FALSE,FALSE,FALSE
522482,7771,TRUE,TRUE,TRUE,TRUE
223192,7730,TRUE,TRUE,TRUE,TRUE
5116,7773,TRUE,TRUE,TRUE,TRUE
305399,7761,TRUE,TRUE,TRUE,TRUE
764597,7766,TRUE,TRUE,TRUE,TRUE
54899,7773,TRUE,TRUE,TRUE,TRUE
1051872,2052,FALSE,FALSE,FALSE,FALSE
158607,7729,TRUE,TRUE,TRUE,TRUE
622354,2052,FALSE,FALSE,FALSE,FALSE
529483,2052,FALSE,FALSE,FALSE,FALSE
177207,2044,FALSE,FALSE,FALSE,FALSE
91930,7197,TRUE,TRUE,TRUE,TRUE
2016743,2052,FALSE,FALSE,FALSE,FALSE
312340,2052,FALSE,FALSE,FALSE,FALSE
293433,2052,FALSE,FALSE,FALSE,FALSE
139957,2052,FALSE,FALSE,FALSE,FALSE
1293529,7642,TRUE,TRUE,TRUE,TRUE
1093900,7765,TRUE,TRUE,TRUE,TRUE
373688,2052,FALSE,FALSE,FALSE,FALSE
393283,7743,TRUE,TRUE,TRUE,TRUE
85828,7698,TRUE,TRUE,TRUE,TRUE
755152,2052,FALSE,FALSE,FALSE,FALSE
2482767,2052,FALSE,FALSE,FALSE,FALSE
326645,7757,TRUE,TRUE,TRUE,TRUE
1243767,7110,TRUE,TRUE,TRUE,TRUE
622728,2052,FALSE,FALSE,FALSE,FALSE
326628,7774,TRUE,TRUE,TRUE,TRUE
37992,7758,TRUE,TRUE,TRUE,TRUE
389665,7755,TRUE,TRUE,TRUE,TRUE
363955,2052,FALSE,FALSE,FALSE,FALSE
335852,7637,TRUE,TRUE,TRUE,TRUE
101485,2042,FALSE,FALSE,FALSE,FALSE
1978365,2052,FALSE,FALSE,FALSE,FALSE
1851601,2052,FALSE,FALSE,FALSE,FALSE
1676634,2052,FALSE,FALSE,FALSE,FALSE
586223,1534,FALSE,FALSE,FALSE,FALSE
40559,7762,TRUE,TRUE,TRUE,TRUE
5180,7774,TRUE,TRUE,TRUE,TRUE
77105,7769,TRUE,TRUE,TRUE,TRUE
61186,7775,TRUE,TRUE,TRUE,TRUE
38448,7418,TRUE,TRUE,TRUE,TRUE
61207,6851,FALSE,TRUE,TRUE,TRUE
2482752,7761,TRUE,TRUE,TRUE,TRUE
1071721,1543,FALSE,FALSE,FALSE,FALSE
1071715,2052,FALSE,FALSE,FALSE,FALSE
149040,7740,TRUE,TRUE,TRUE,TRUE
576137,7447,TRUE,TRUE,TRUE,TRUE
86026,1759,FALSE,FALSE,FALSE,FALSE
