"","kingdom","phylum","class","order","family","genus","species"
"935268","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Rhodocybe","Rhodocybe pruinosostipitata"
"1967124","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Crinipellis","Crinipellis sp."
"64608","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Agrocybe","Agrocybe cylindracea"
"34454","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Hebeloma","Hebeloma crustuliniforme"
"330938","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Volvariella","Volvariella caesiotincta"
"249324","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Galerina","Galerina lubrica"
"1570150","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae",NA,"uncultured Hydnangium"
"1914081","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Pulveroboletus","Pulveroboletus sp."
"202697","Fungi","Basidiomycota","Agaricomycetes","Jaapiales","Jaapiaceae","Jaapia","Jaapia argillacea"
"160866","Fungi","Basidiomycota","Dacrymycetes","Dacrymycetales","Dacrymycetaceae","Femsjonia","Femsjonia peziziformis"
"266790","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Farysia","Farysia taiwaniana"
"2031131","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Pericladium","Pericladium tiliacearum"
"2527765","Fungi","Basidiomycota","Exobasidiomycetes","Tilletiales","Tilletiaceae","Tilletia","Tilletia setariae-parviflorae"
"2020962","Fungi","Basidiomycota","Malasseziomycetes","Malasseziales","Malasseziaceae","Malassezia","Malassezia vespertilionis"
"64619","Fungi","Basidiomycota","Moniliellomycetes","Moniliellales","Moniliellaceae","Moniliella","Moniliella oedocephalis"
"231204","Fungi","Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidium","Leucosporidium golubevii"
"1349589","Fungi","Basidiomycota","Atractiellomycetes","Atractiellales","Helicogloeaceae","Neogloea","Neogloea sp. TUB 020325"
